epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,334.269,1.11818,0.81455,1.05477,0.85425,0.95751,0.96039,0.63813,1.29459,0.82342,1.097,0.000570452,0.000570452,0.000570452
4,439.036,1.07522,0.71408,1.03766,0.95912,0.96672,0.97591,0.74515,0.88716,0.6002,0.98087,0.00055075,0.00055075,0.00055075
5,584.692,1.04359,0.64815,1.02766,0.9758,0.97825,0.98438,0.75393,0.91232,0.55151,0.9958,0.000526,0.000526,0.000526
6,681.903,1.0356,0.63891,1.02245,0.96981,0.98052,0.98775,0.77256,0.86742,0.53169,0.98741,0.00050125,0.00050125,0.00050125
7,788.614,1.01153,0.59179,1.0122,0.97639,0.98567,0.98384,0.77439,0.84375,0.48326,0.97078,0.0004765,0.0004765,0.0004765
8,929.693,0.96256,0.54728,0.99786,0.97724,0.98433,0.98973,0.77511,0.86752,0.48105,0.99696,0.00045175,0.00045175,0.00045175
9,1048.07,0.96687,0.53347,1.00284,0.97923,0.98912,0.99217,0.79154,0.8202,0.43593,0.97787,0.000427,0.000427,0.000427
10,1198.19,0.95382,0.52218,0.99498,0.98607,0.97783,0.98663,0.77313,0.88269,0.45087,0.98506,0.00040225,0.00040225,0.00040225
11,1336.45,0.94622,0.51195,0.99299,0.96349,0.98483,0.98681,0.78661,0.83723,0.44215,0.98607,0.0003775,0.0003775,0.0003775
12,1489.95,0.91453,0.49311,0.98352,0.98033,0.98226,0.98846,0.78272,0.84488,0.42209,0.97376,0.00035275,0.00035275,0.00035275
13,1609.75,0.89544,0.48027,0.97728,0.98215,0.97402,0.9878,0.79871,0.80572,0.41627,0.9842,0.000328,0.000328,0.000328
14,1758.05,0.87812,0.47561,0.9752,0.98063,0.98272,0.99012,0.78984,0.8188,0.40605,0.97944,0.00030325,0.00030325,0.00030325
15,1895.59,0.86861,0.45671,0.96462,0.98644,0.99099,0.99024,0.79673,0.82065,0.39653,0.97753,0.0002785,0.0002785,0.0002785
16,2026.06,0.85669,0.42702,0.97848,0.98551,0.99197,0.99086,0.80082,0.79848,0.4015,0.96914,0.00025375,0.00025375,0.00025375
17,2129.78,0.83388,0.41516,0.97191,0.98191,0.98104,0.98959,0.79596,0.80374,0.38955,0.95824,0.000229,0.000229,0.000229
18,2254.18,0.84194,0.4101,0.96606,0.98315,0.98728,0.98713,0.79267,0.81062,0.38817,0.96897,0.00020425,0.00020425,0.00020425
19,2390.68,0.80328,0.40326,0.96814,0.98295,0.99013,0.98868,0.79461,0.81267,0.37326,0.98155,0.0001795,0.0001795,0.0001795
20,2527.67,0.79636,0.39502,0.95549,0.98351,0.98891,0.98754,0.80337,0.78596,0.37549,0.96346,0.00015475,0.00015475,0.00015475
21,2641.69,0.78233,0.38343,0.95553,0.98138,0.9877,0.98606,0.79437,0.81175,0.37343,0.97157,0.00013,0.00013,0.00013
22,2789.54,0.76952,0.37352,0.94428,0.97881,0.99009,0.98735,0.80255,0.79854,0.36381,0.9664,0.00010525,0.00010525,0.00010525
23,2887.33,0.74876,0.3624,0.93767,0.97864,0.99227,0.98757,0.80038,0.8032,0.365,0.96905,8.05e-05,8.05e-05,8.05e-05
24,3011.32,0.75821,0.36144,0.94523,0.98471,0.98873,0.98699,0.8076,0.78767,0.35547,0.95822,5.575e-05,5.575e-05,5.575e-05
25,3126.59,0.74486,0.35437,0.94333,0.98441,0.98981,0.98842,0.80678,0.78305,0.34814,0.96209,3.1e-05,3.1e-05,3.1e-05
